Paso,X,Y,Z,dRoll_deg,dPitch_deg,dYaw_deg,Roll_acum_deg,Pitch_acum_deg,Yaw_acum_deg
0,0.9999999999999982,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.448973916332685,1.705633038403768,2.7676767676767677,-0.275,0.184,1.052,-0.275,0.184,1.052
2,1.907061448709003,1.4256592926562544,2.5353535353535355,0.0,-0.0,1.818,-0.275,0.184,2.87
3,2.373801341814252,1.1603606725870783,2.3030303030303028,0.0,-0.0,1.818,-0.275,0.184,4.688
4,2.8487236281399326,0.9100043114182483,2.0707070707070705,0.0,-0.0,1.818,-0.275,0.184,6.507
5,3.3313501012011475,0.6748422967836571,1.8383838383838382,0.0,-0.0,1.818,-0.275,0.184,8.325
6,3.821194797050027,0.45511141689821066,1.606060606060606,0.0,-0.0,1.818,-0.275,0.184,10.143
7,4.3177644836002,0.25103292213216477,1.3737373737373735,0.0,-0.0,1.818,-0.275,0.184,11.961
8,4.820559157269721,0.06281230223076051,1.1414141414141412,0.0,-0.0,1.818,-0.275,0.184,13.779
9,5.32907254644229,-0.10936092059654712,0.9090909090909092,0.0,-0.0,1.818,-0.275,0.184,15.598
10,5.8427926212398384,-0.2653133825088645,0.6767676767676765,0.0,-0.0,1.818,-0.275,0.184,17.416
11,6.361202109093231,-0.4048880525965721,0.4444444444444442,0.0,-0.0,1.818,-0.275,0.184,19.234
12,6.883779015591893,-0.5279443909981296,0.21212121212121193,0.0,-0.0,1.818,-0.275,0.184,21.052
13,7.4099971500879285,-0.634358490411806,-0.020202020202020332,0.0,-0.0,1.818,-0.275,0.184,22.87
14,7.939326655525502,-0.7240232008598291,-0.25252525252525304,0.0,-0.0,1.818,-0.275,0.184,24.688
15,8.471234541961971,-0.7968482375793293,-0.48484848484848486,0.0,-0.0,1.818,-0.275,0.184,26.507
16,9.0051852232436,-0.8527602719314409,-0.7171717171717176,0.0,-0.0,1.818,-0.275,0.184,28.325
17,9.540641056295408,-0.8917030052370407,-0.9494949494949498,0.0,-0.0,1.818,-0.275,0.184,30.143
18,10.077062882482146,-0.9136372254647149,-1.1818181818181817,0.0,-0.0,1.818,-0.275,0.184,31.961
19,10.613910570495378,-0.9185408467139808,-1.4141414141414144,0.0,-0.0,1.818,-0.275,0.184,33.779
20,11.15064356021991,-0.9064089314539032,-1.646464646464647,0.0,0.0,1.818,-0.275,0.184,35.598
21,11.686721407031989,-0.877253695494776,-1.878787878787879,0.0,0.0,1.818,-0.275,0.184,37.416
22,12.221604325981259,-0.8311044956878177,-2.1111111111111116,0.0,0.0,1.818,-0.275,0.184,39.234
23,12.75475373530841,-0.7680078003653357,-2.3434343434343443,0.0,0.0,1.818,-0.275,0.184,41.052
24,13.285632798751397,-0.6880271425510465,-2.575757575757576,0.0,0.0,1.818,-0.275,0.184,42.87
25,13.81370696609403,-0.5912430559876967,-2.808080808080809,0.0,0.0,1.818,-0.275,0.184,44.688
26,14.338444511412709,-0.4777529940464156,-3.0404040404040407,0.0,0.0,1.818,-0.275,0.184,46.507
27,14.859317068479406,-0.34767123159944546,-3.2727272727272734,0.0,0.0,1.818,-0.275,0.184,48.325
28,15.375800162781633,-0.20112874995500363,-3.505050505050506,0.0,0.0,1.818,-0.275,0.184,50.143
29,15.887373739623815,-0.03827310497024072,-3.737373737373737,0.0,0.0,1.818,-0.275,0.184,51.961
30,16.393522687778315,0.1407317215250341,-3.9696969696969697,0.0,0.0,1.818,-0.275,0.184,53.779
31,16.89373735815875,0.3357054868441267,-4.202020202020202,0.0,0.0,1.818,-0.275,0.184,55.598
32,17.387514076993426,0.5464518689325786,-4.434343434343435,0.0,0.0,1.818,-0.275,0.184,57.416
33,17.874355652982143,0.7727586640478332,-4.666666666666668,0.0,0.0,1.818,-0.275,0.184,59.234
34,18.353771877925666,1.014398000430413,-4.8989898989899,0.0,0.0,1.818,-0.275,0.184,61.052
35,18.82528002032385,1.2711265677514714,-5.131313131313133,0.0,0.0,1.818,-0.275,0.184,62.87
36,19.288405311445334,1.5426858621056638,-5.363636363636363,0.0,0.0,1.818,-0.275,0.184,64.688
37,19.742681423379416,1.8288024463026744,-5.595959595959597,0.0,0.0,1.818,-0.275,0.184,66.507
38,20.18765093858871,2.1291882251952785,-5.828282828282829,0.0,0.0,1.818,-0.275,0.184,68.325
39,20.622865810489856,2.443540735766746,-6.060606060606062,0.0,0.0,1.818,-0.275,0.184,70.143
40,21.047887814598425,2.7715434516854494,-6.292929292929294,0.0,0.0,1.818,-0.275,0.184,71.961
41,21.462288989783858,3.1128661020200585,-6.525252525252526,0.0,0.0,1.818,-0.275,0.184,73.779
42,21.865652069190023,3.4671650037943706,-6.757575757575758,0.0,0.0,1.818,-0.275,0.184,75.598
43,22.25757090038759,3.834083408046931,-6.98989898989899,0.0,0.0,1.818,-0.275,0.184,77.416
44,22.637650854335078,4.2132518590469985,-7.222222222222223,0.0,0.0,1.818,-0.275,0.184,79.234
45,23.005509222736848,4.604288566305145,-7.454545454545455,0.0,0.0,1.818,-0.275,0.184,81.052
46,23.360775603397954,5.0067997890039315,-7.686868686868689,0.0,0.0,1.818,-0.275,0.184,82.87
47,23.703092273187703,5.420380232461511,-7.9191919191919204,0.0,0.0,1.818,-0.275,0.184,84.688
48,24.032114548236557,5.844613456229029,-8.151515151515152,0.0,0.0,1.818,-0.275,0.184,86.507
49,24.34751113100357,6.279072293410875,-8.383838383838384,0.0,0.0,1.818,-0.275,0.184,88.325
50,24.648964443864926,6.723319280785498,-8.616161616161618,0.0,0.0,1.818,-0.275,0.184,90.143
51,24.936170948887664,7.1769070992938175,-8.848484848484851,0.0,0.0,1.818,-0.275,0.184,91.961
52,25.208841453466682,7.639379024451586,-9.080808080808081,0.0,0.0,1.818,-0.275,0.184,93.779
53,25.466701401517163,8.110269386232236,-9.313131313131313,0.0,0.0,1.818,-0.275,0.184,95.598
54,25.709491149929267,8.589104037957132,-9.545454545454547,0.0,0.0,1.818,-0.275,0.184,97.416
55,25.936966230006753,9.075400833721046,-9.777777777777779,0.0,0.0,1.818,-0.275,0.184,99.234
56,26.148897593626216,9.568670113872274,-10.010101010101012,0.0,0.0,1.818,-0.275,0.184,101.052
57,26.345071843869142,10.068415198058336,-10.242424242424244,0.0,0.0,1.818,-0.275,0.184,102.87
58,26.52529144989452,10.574132885341037,-10.474747474747474,0.0,0.0,1.818,-0.275,0.184,104.688
59,26.689374945835645,11.085313960877148,-10.70707070707071,0.0,0.0,1.818,-0.275,0.184,106.507
60,26.837157113520863,11.60144370865455,-10.93939393939394,0.0,0.0,1.818,-0.275,0.184,108.325
61,26.968489148834276,12.122002429767692,-11.171717171717173,0.0,0.0,1.818,-0.275,0.184,110.143
62,27.08323881154886,12.646465965710277,-11.404040404040405,0.0,0.0,1.818,-0.275,0.184,111.961
63,27.18129055848118,13.174306226158489,-11.636363636363638,0.0,0.0,1.818,-0.275,0.184,113.779
64,27.262545659833556,13.704991720713146,-11.86868686868687,0.0,0.0,1.818,-0.275,0.184,115.598
