Paso,Roll_X_deg,Pitch_Y_deg,Yaw_Z_deg,x_global,y_global,z_global
0,0.0,0.0,0.0,1.0,2.0,3.0
1,-0.175,0.129,0.964,1.064,1.953,2.98
2,-0.0,0.0,1.818,1.13,1.909,2.96
3,-0.0,0.0,1.818,1.197,1.866,2.939
4,-0.0,0.0,1.818,1.265,1.826,2.919
5,-0.0,0.0,1.818,1.335,1.788,2.899
6,-0.0,0.0,1.818,1.406,1.752,2.879
7,-0.0,0.0,1.818,1.477,1.719,2.859
8,-0.0,0.0,1.818,1.55,1.687,2.838
9,-0.0,0.0,1.818,1.624,1.658,2.818
10,-0.0,0.0,1.818,1.699,1.632,2.798
11,-0.0,0.0,1.818,1.775,1.608,2.778
12,-0.0,0.0,1.818,1.851,1.586,2.758
13,-0.0,0.0,1.818,1.928,1.566,2.737
14,-0.0,0.0,1.818,2.005,1.549,2.717
15,-0.0,0.0,1.818,2.083,1.535,2.697
16,-0.0,0.0,1.818,2.162,1.523,2.677
17,-0.0,0.0,1.818,2.24,1.514,2.657
18,-0.0,0.0,1.818,2.319,1.507,2.636
19,-0.0,0.0,1.818,2.399,1.502,2.616
20,-0.0,0.0,1.818,2.478,1.5,2.596
21,-0.0,0.0,1.818,2.557,1.501,2.576
22,-0.0,-0.0,1.818,2.637,1.504,2.556
23,-0.0,-0.0,1.818,2.716,1.509,2.535
24,-0.0,-0.0,1.818,2.795,1.517,2.515
25,-0.0,-0.0,1.818,2.873,1.528,2.495
26,-0.0,-0.0,1.818,2.951,1.541,2.475
27,-0.0,-0.0,1.818,3.029,1.557,2.455
28,-0.0,-0.0,1.818,3.106,1.575,2.434
29,-0.0,-0.0,1.818,3.183,1.595,2.414
30,-0.0,-0.0,1.818,3.259,1.618,2.394
31,-0.0,-0.0,1.818,3.334,1.643,2.374
32,-0.0,-0.0,1.818,3.409,1.671,2.354
33,-0.0,-0.0,1.818,3.482,1.701,2.333
34,-0.0,-0.0,1.818,3.555,1.733,2.313
35,-0.0,-0.0,1.818,3.626,1.768,2.293
36,-0.0,-0.0,1.818,3.696,1.805,2.273
37,-0.0,-0.0,1.818,3.765,1.844,2.253
38,-0.0,-0.0,1.818,3.833,1.885,2.232
39,-0.0,-0.0,1.818,3.899,1.928,2.212
40,-0.0,-0.0,1.818,3.964,1.974,2.192
41,-0.0,-0.0,1.818,4.028,2.021,2.172
42,-0.0,-0.0,1.818,4.09,2.071,2.152
43,-0.0,-0.0,1.818,4.15,2.122,2.131
44,-0.0,-0.0,1.818,4.209,2.175,2.111
45,-0.0,-0.0,1.818,4.266,2.231,2.091
46,-0.0,-0.0,1.818,4.321,2.288,2.071
47,-0.0,-0.0,1.818,4.375,2.346,2.051
48,-0.0,-0.0,1.818,4.426,2.407,2.03
49,-0.0,-0.0,1.818,4.476,2.468,2.01
50,-0.0,-0.0,1.818,4.524,2.532,1.99
51,-0.0,-0.0,1.818,4.569,2.597,1.97
52,-0.0,-0.0,1.818,4.613,2.663,1.949
53,-0.0,-0.0,1.818,4.654,2.731,1.929
54,-0.0,-0.0,1.818,4.693,2.8,1.909
55,-0.0,-0.0,1.818,4.73,2.87,1.889
56,-0.0,-0.0,1.818,4.765,2.941,1.869
57,-0.0,-0.0,1.818,4.797,3.014,1.848
58,-0.0,-0.0,1.818,4.827,3.087,1.828
59,-0.0,-0.0,1.818,4.855,3.161,1.808
60,-0.0,-0.0,1.818,4.881,3.237,1.788
61,-0.0,-0.0,1.818,4.904,3.313,1.768
62,-0.0,-0.0,1.818,4.924,3.389,1.747
63,-0.0,-0.0,1.818,4.942,3.466,1.727
64,-0.0,-0.0,1.818,4.958,3.544,1.707
65,-0.0,-0.0,1.818,4.971,3.622,1.687
66,-0.0,-0.0,1.818,4.982,3.701,1.667
67,-0.0,-0.0,1.818,4.99,3.78,1.646
68,-0.0,-0.0,1.818,4.996,3.859,1.626
69,-0.0,-0.0,1.818,4.999,3.938,1.606
70,-0.0,-0.0,1.818,5.0,4.018,1.586
71,0.0,-0.0,1.818,4.998,4.097,1.566
72,0.0,-0.0,1.818,4.994,4.176,1.545
73,0.0,-0.0,1.818,4.987,4.255,1.525
74,0.0,-0.0,1.818,4.978,4.334,1.505
75,0.0,-0.0,1.818,4.966,4.412,1.485
76,0.0,-0.0,1.818,4.951,4.49,1.465
77,0.0,-0.0,1.818,4.935,4.568,1.444
78,0.0,-0.0,1.818,4.915,4.645,1.424
79,0.0,-0.0,1.818,4.894,4.721,1.404
80,0.0,-0.0,1.818,4.87,4.797,1.384
81,0.0,-0.0,1.818,4.843,4.872,1.364
82,0.0,-0.0,1.818,4.814,4.945,1.343
83,0.0,-0.0,1.818,4.783,5.018,1.323
84,0.0,-0.0,1.818,4.75,5.09,1.303
85,0.0,-0.0,1.818,4.714,5.161,1.283
86,0.0,-0.0,1.818,4.676,5.231,1.263
87,0.0,-0.0,1.818,4.636,5.299,1.242
88,0.0,-0.0,1.818,4.594,5.366,1.222
89,0.0,-0.0,1.818,4.549,5.432,1.202
90,0.0,-0.0,1.818,4.503,5.496,1.182
91,0.0,-0.0,1.818,4.454,5.559,1.162
92,0.0,-0.0,1.818,4.404,5.62,1.141
93,0.0,-0.0,1.818,4.351,5.68,1.121
94,0.0,-0.0,1.818,4.297,5.738,1.101
95,0.0,-0.0,1.818,4.241,5.794,1.081
96,0.0,-0.0,1.818,4.183,5.848,1.061
97,0.0,-0.0,1.818,4.124,5.901,1.04
98,0.0,-0.0,1.818,4.063,5.951,1.02
99,0.171,-0.135,0.964,4.0,6.0,1.0
